country,university,link,abbre
AR,Universidad Católica Argentina Santa Maria de los Buenos Aires,http://www.uca.edu.ar/,uca
AR,Universidad Católica de Córdoba,http://www.uccor.edu.ar/,uccor
AR,Universidad Católica de Cuyo,http://www.uccuyo.edu.ar/,uccuyo
AR,Universidad Católica de La Plata,http://www.ucalp.edu.ar/,ucalp
AR,Universidad Católica de Salta,http://www.ucasal.edu.ar/,ucasal
AR,Universidad Católica de Santa Fé,http://www.ucsf.edu.ar/,ucsf
AR,Universidad Católica de Santiago del Estero,http://www.ucse.edu.ar/,ucse
AR,Universidad Champagnat,http://www.uch.edu.ar/,uch
AR,Universidad de Belgrano,http://www.ub.edu.ar/,ub
AR,Universidad de Bologna - Representación en Buenos Aires,http://www.unibo.edu.ar/,unibo
AR,Universidad de Buenos Aires,http://www.uba.ar/,uba
AR,Universidad de Ciencias Empresariales y Sociales,http://www.uces.edu.ar/,uces
AR,Universidad de Concepción del Uruguay,http://www.ucu.edu.ar/,ucu
AR,Universidad de Congreso,http://www.ucongres.edu.ar/,ucongres
AR,Universidad de Flores - Buenos Aires,http://www.uflo.edu.ar/,uflo
AR,Universidad del Aconcagua,http://www.uda.edu.ar/,uda
AR,Universidad de la Cuenca del Plata,http://www.ucp.edu.ar/,ucp
AR,Universidad de la Fraternidad de Agrupaciones Santo Tomas de Aquino (FASTA),http://www.ufasta.edu.ar/,ufasta
AR,Universidad de la Marina Mercante,http://www.udemm.edu.ar/,udemm
AR,Universidad del Centro Educativo Latinoamericano Rosario,http://www.ucel.edu.ar/,ucel
AR,Universidad del Cine - Buenos Aires,http://www.ucine.edu.ar/,ucine
AR,Universidad del Museo Social Argentino,http://www.umsa.edu.ar/,umsa
AR,"Universidad del Norte ""Santo Tomás de Aquino""",http://www.unsta.edu.ar/,unsta
AR,Universidad del Salvador,http://www.salvador.edu.ar/,salvador
AR,Universidad de Mendoza,http://www.um.edu.ar/,um
AR,Universidad de Morón,http://www.unimoron.edu.ar/,unimoron
AR,Universidad de Palermo,http://www.palermo.edu.ar/,palermo
AR,Universidad de San Andres,http://www.udesa.edu.ar/,udesa
AR,Universidad Empresarial Siglio 21,http://www.uesiglo21.edu.ar/,uesiglo21
AR,Universidad ISALUD,http://www.isalud.edu.ar/,isalud
AR,"Universidad ""Juan Agustín Maza""",http://www.umaza.edu.ar/,umaza
AR,Universidad Maimónides,http://www.maimonides.edu.ar/,maimonides
AR,Universidad Nacional de Catamarca,http://www.unca.edu.ar/,unca
AR,Universidad Nacional de Córdoba,http://www.unc.edu.ar/,unc
AR,Universidad Nacional de Cuyo,http://www.uncu.edu.ar/,uncu
AR,Universidad Nacional de Entre Ríos,http://www.uner.edu.ar/,uner
AR,Universidad Nacional de Formosa,http://www.unf.edu.ar/,unf
AR,Universidad Nacional de General San Martín,http://www.unsam.edu.ar/,unsam
AR,Universidad Nacional de General Sarmiento,http://www.ungs.edu.ar/,ungs
AR,Universidad Nacional de Jujuy,http://www.unju.edu.ar/,unju
AR,Universidad Nacional de La Matanza,http://www.unlam.edu.ar/,unlam
AR,Universidad Nacional de Lanus,http://www.unla.edu.ar/,unla
AR,Universidad Nacional de La Pampa,http://www.unlpam.edu.ar/,unlpam
AR,Universidad Nacional de la Patagonia Austral,http://www.unpa.edu.ar/,unpa
AR,"Universidad Nacional de la Patagonia ""San Juan Bosco""",http://www.unp.edu.ar/,unp
AR,Universidad Nacional de La Plata,http://www.unlp.edu.ar/,unlp
AR,Universidad Nacional de La Rioja,http://www.unlar.edu.ar/,unlar
AR,Universidad Nacional del Centro de la Provincia de Buenos Aires,http://www.unicen.edu.ar/,unicen
AR,Universidad Nacional del Comahue,http://www.uncoma.edu.ar/,uncoma
AR,Universidad Nacional del Littoral,http://www.unl.edu.ar/,unl
AR,Universidad Nacional del Nordeste,http://www.unne.edu.ar/,unne
AR,Universidad Nacional del Noroeste de la Provincia de Buenos Aires,http://www.unnoba.edu.ar/,unnoba
AR,Universidad Nacional de Lomas de Zamora,http://www.unlz.edu.ar/,unlz
AR,Universidad Nacional del Sur,http://www.uns.edu.ar/,uns
AR,Universidad Nacional de Luján,http://www.unlu.edu.ar/,unlu
AR,Universidad Nacional de Mar del Plata,http://www.mdp.edu.ar/,mdp
AR,Universidad Nacional de Misiones,http://www.unam.edu.ar/,unam
AR,Universidad Nacional de Quilmes,http://www.unq.edu.ar/,unq
AR,Universidad Nacional de Río Cuarto,http://www.unrc.edu.ar/,unrc
AR,Universidad Nacional de Rosario,http://www.unr.edu.ar/,unr
AR,Universidad Nacional de Salta,http://www.unsa.edu.ar/,unsa
AR,Universidad Nacional de San Juan,http://www.unsj.edu.ar/,unsj
AR,Universidad Nacional de San Luis,http://www.unsl.edu.ar/,unsl
AR,Universidad Nacional de Santiago del Estero,http://www.unse.edu.ar/,unse
AR,Universidad Nacional de Tres de Febrero,http://www.untref.edu.ar/,untref
AR,Universidad Nacional de Tucumán,http://www.unt.edu.ar/,unt
AR,Universidad Nacional de Villa María,http://www.unvm.edu.ar/,unvm
AR,Universidad Notarial Argentina,http://www.universidadnotarial.edu.ar/,universidadnotarial
AR,Universidad Tecnológica Nacional,http://www.utn.edu.ar/,utn
AR,Universidad Torcuato di Tella,http://www.utdt.edu/,utdt
AT,Akademie der bildenden Künste Wien,http://www.akbild.ac.at/,akbild
AT,Donau-Universität Krems,http://www.donau-uni.ac.at/,donau-uni
AT,Fachhochschule Burgenland,http://www.fh-burgenland.at/,fh-burgenland
AT,Fachhochschule für Bank- und Finanzwirtschaft,http://www.fh-vie.ac.at/,fh-vie
AT,Fachhochschule JOANNEUM,http://www.fh-joanneum.at/,fh-joanneum
AT,Fachhochschule Kärnten,http://www.fh-kaernten.ac.at/,fh-kaernten
AT,Fachhochschule Krems,http://www.fh-krems.ac.at/,fh-krems
AT,Fachhochschule Kufstein (Tirol),http://www.fh-kufstein.ac.at/,fh-kufstein
AT,Fachhochschule Salzburg,http://www.fh-sbg.ac.at/,fh-sbg
AT,Fachhochschule St. Pölten,http://www.fh-stpoelten.ac.at/,fh-stpoelten
AT,Fachhochschule Vorarlberg,http://www.fhv.at/,fhv
AT,Fachhochschule Wiener Neustadt,http://www.fhwn.ac.at/,fhwn
AT,Fachhochschulstudiengänge der Wiener Wirtschaft,http://www.fhw.at/,fhw
